gridid,shape_leng,shape_area,xcentroid,ycentroid
1,1937.75159008,242009.358337,-82.5884361267,27.3197141227
2,2000.00000001,250000.000002,-82.5455993989,27.3721363648
3,1999.99999999,249999.999998,-82.5746713123,27.3335090038
4,1999.99999999,249999.999996,-82.5685182206,27.3349095633
5,2000.00000004,250000.000009,-82.5406905515,27.3130137514
6,2000,250000,-82.5577585329,27.339079095
7,2000.00000001,250000.000002,-82.5084183672,27.3268888254
8,2000.00000002,250000.000006,-82.5669082162,27.3211622254
9,2000,250000,-82.531452031,27.3130491802
10,2000.00000001,250000.000002,-82.5854081378,27.3252121184
11,2000.00000001,250000.000002,-82.5456601236,27.3845145571
12,1999.99999999,249999.999998,-82.52375971,27.3144536101
13,2000.00000001,250000.000002,-82.5192492819,27.3378521474
14,1999.99999997,249999.999993,-82.5208279638,27.3460986192
15,1999.99999998,249999.999994,-82.5329654991,27.3075418339
16,1999.99999999,249999.999996,-82.5656547185,27.3775580491
17,1999.99999997,249999.999993,-82.5501055343,27.3487371512
18,2000.00000001,250000.000002,-82.5130318899,27.3254965684
19,2000.00000004,250000.000009,-82.5453098054,27.3129958081
20,1999.99999997,249999.999993,-82.5391042714,27.3033921087
21,2000.00000001,250000.000002,-82.5038420351,27.3365331693
22,1999.99999999,249999.999998,-82.564072236,27.3693121767
23,1214.39091432,53590.1904856,-82.5456685649,27.3853496408
24,2000.00000002,250000.000006,-82.5624066282,27.3445620034
25,2000.00000001,250000.000002,-82.5192108307,27.329599931
26,2000.00000002,250000.000006,-82.5625734415,27.3775705035
27,2000.00000001,250000.000002,-82.5269627893,27.340574047
28,2000.00000001,250000.000002,-82.5344854104,27.3034098412
29,2000.00000002,250000.000006,-82.562483049,27.3596909188
30,1999.99999999,249999.999998,-82.5330970064,27.3350492097
31,1409.70468128,94861.3965223,-82.5895498946,27.3211752166
32,2000.00000002,250000.000006,-82.5748416828,27.3665174857
33,2000.00000001,250000.000002,-82.4838149088,27.3352285628
34,1999.99999999,249999.999998,-82.5115487739,27.3378805566
35,1999.99999999,249999.999998,-82.5130002466,27.3186197032
36,2000.00000002,250000.000006,-82.5593193564,27.343199014
37,1916.15383088,179839.761311,-82.5177447387,27.3514241268
38,2000.00000001,250000.000002,-82.5084685675,27.3378918014
39,2000.00000001,250000.000002,-82.5407372356,27.3226413256
40,2000.00000001,250000.000002,-82.5268912528,27.3254450007
41,2000,250000,-82.5423373477,27.3350136459
42,2000.00000001,250000.000002,-82.5223423786,27.3405914001
43,1999.99999999,249999.999998,-82.5440722834,27.37489309
44,2000.00000004,250000.000009,-82.5407105561,27.3171398563
45,1999.99999997,249999.999993,-82.5500511982,27.3377342665
46,1872.72424562,218178.731702,-82.576184456,27.3472558707
47,2000.00000001,250000.000002,-82.5453165301,27.3143711756
48,2000,250000,-82.5715418884,27.3238941298
49,2000,250000,-82.5579584219,27.3789644093
50,2000,250000,-82.5683429467,27.3005255309
51,2000.00000004,250000.000009,-82.5776444599,27.3128659314
52,2000.00000001,250000.000002,-82.5300103471,27.3336855616
53,2000.00000002,250000.000006,-82.5378167883,27.355661949
54,1999.99999997,249999.999993,-82.5500715707,27.3418603503
55,1999.99999997,249999.999993,-82.57175365,27.3651547871
56,1999.99999997,249999.999993,-82.5502006969,27.3679921574
57,2000.00000001,250000.000004,-82.5422637416,27.3198846256
58,2000,250000,-82.5578205233,27.3514573205
59,1999.99999999,249999.999996,-82.4992402642,27.3406758736
60,2000.00000001,250000.000002,-82.5375580256,27.302022665
61,2000.00000002,250000.000006,-82.508525077,27.3502701285
62,2000.00000001,250000.000002,-82.5378566616,27.3639141098
63,1999.99999996,249999.999989,-82.5548839638,27.3803520465
64,2000.00000002,250000.000006,-82.5733437237,27.3747759186
65,2000.00000004,250000.000009,-82.540837351,27.3432717968
66,2000,250000,-82.5501531038,27.358364661
67,2000,250000,-82.5608595204,27.3431928384
68,2000.00000004,250000.000009,-82.5670411771,27.3472940348
69,2000.00000001,250000.000002,-82.522226374,27.3158347435
70,1999.99999998,249999.999994,-82.533202347,27.357055032
71,1999.99999999,249999.999996,-82.5316291475,27.3501840917
72,2000,250000,-82.5610397399,27.3789520562
73,1999.99999999,249999.999998,-82.4931040373,27.3461992469
74,2000.00000002,250000.000006,-82.5530631227,27.3239684817
75,1188.97758852,46433.7412032,-82.5258741311,27.3034656082
76,2000.00000002,250000.000006,-82.5299057416,27.3116796544
77,1999.99999999,249999.999998,-82.5130698768,27.3337487977
78,1999.99999997,249999.999993,-82.5314979175,27.3226767689
79,2000.00000002,250000.000006,-82.566831321,27.3060332381
80,2000.00000001,250000.000002,-82.5514960092,27.318473109
81,1999.99999999,249999.999998,-82.5593469848,27.3487004456
82,1999.99999999,249999.999998,-82.51303822,27.3268719406
83,2000.00000002,250000.000006,-82.5701638669,27.3555336201
84,1999.99999997,249999.999993,-82.5547057109,27.3445927983
85,2000,250000,-82.5393704575,27.3584067287
86,1999.99999999,249999.999998,-82.5529812787,27.3074640978
87,1999.99999997,249999.999993,-82.5361506536,27.3295359593
88,2000.00000002,250000.000006,-82.519281337,27.3447289869
89,2000.00000004,250000.000009,-82.5514688039,27.3129716463
90,1999.99999999,249999.999998,-82.5731737372,27.341767467
91,2000,250000,-82.5717041985,27.3555273223
92,2000.00000002,250000.000006,-82.4838507473,27.3434808174
93,1999.99999999,249999.999998,-82.5529949145,27.3102148311
94,2000.00000002,250000.000006,-82.5237532511,27.3130782377
