Rank,grid_id,Actual_Crime_Count,Target_Period
1,1427,18,202302
2,1299,12,202302
3,2125,7,202302
4,2184,4,202302
5,1189,4,202302
6,2363,4,202302
7,1661,4,202302
8,1876,4,202302
9,524,4,202302
10,1158,4,202302
11,449,4,202302
12,639,4,202302
13,41,3,202302
14,2130,3,202302
15,2639,3,202302
16,404,3,202302
17,1679,3,202302
18,1350,3,202302
19,419,3,202302
20,732,3,202302
21,70,2,202302
22,1383,2,202302
23,1066,2,202302
24,2099,2,202302
25,705,2,202302
26,1743,2,202302
27,1114,2,202302
28,1768,2,202302
29,1687,2,202302
30,2736,2,202302
31,327,2,202302
32,512,2,202302
33,799,2,202302
34,2114,2,202302
35,2743,2,202302
36,2429,2,202302
37,2196,2,202302
38,375,2,202302
39,1573,2,202302
40,2348,2,202302
41,853,2,202302
42,2753,2,202302
43,873,2,202302
44,2548,2,202302
45,37,2,202302
46,1706,2,202302
47,1340,2,202302
48,2273,2,202302
49,1314,2,202302
50,216,1,202302
51,1349,1,202302
52,192,1,202302
53,329,1,202302
54,2152,1,202302
55,1945,1,202302
56,2779,1,202302
57,1035,1,202302
58,289,1,202302
59,2542,1,202302
60,2506,1,202302
61,1083,1,202302
62,2216,1,202302
63,98,1,202302
64,561,1,202302
65,480,1,202302
66,168,1,202302
67,1962,1,202302
68,1104,1,202302
69,259,1,202302
70,1552,1,202302
71,1702,1,202302
72,1022,1,202302
73,485,1,202302
74,1463,1,202302
75,2241,1,202302
76,14,1,202302
77,456,1,202302
78,653,1,202302
79,925,1,202302
80,2768,1,202302
81,527,1,202302
82,1388,1,202302
83,1606,1,202302
84,1185,1,202302
85,2326,1,202302
86,1377,1,202302
87,133,1,202302
88,293,1,202302
89,146,1,202302
90,945,1,202302
91,1039,1,202302
92,2422,1,202302
93,1204,1,202302
94,977,1,202302
95,103,1,202302
96,1405,1,202302
97,2033,1,202302
98,2597,1,202302
99,1776,1,202302
100,330,1,202302
101,2163,1,202302
102,2071,1,202302
103,1444,1,202302
104,2534,1,202302
105,42,1,202302
106,2413,1,202302
107,1115,1,202302
108,682,1,202302
109,761,1,202302
110,228,1,202302
111,105,1,202302
112,1442,1,202302
113,253,1,202302
114,119,1,202302
115,318,1,202302
116,2250,1,202302
117,2524,1,202302
118,1886,1,202302
119,2799,1,202302
120,2476,1,202302
121,1966,1,202302
122,614,1,202302
123,2347,1,202302
124,1660,1,202302
125,1558,1,202302
126,654,1,202302
127,1064,1,202302
128,2425,1,202302
129,2369,1,202302
130,434,1,202302
131,1426,1,202302
132,1549,1,202302
133,993,1,202302
134,1341,1,202302
135,1912,1,202302
136,363,1,202302
137,2153,1,202302
138,1231,1,202302
139,1700,1,202302
140,1078,1,202302
141,2451,1,202302
142,1681,1,202302
143,116,1,202302
144,2725,1,202302
145,1619,1,202302
146,2662,1,202302
147,1099,1,202302
148,120,1,202302
149,1326,1,202302
150,2622,1,202302
151,2076,1,202302
152,772,1,202302
153,551,1,202302
154,2671,1,202302
155,1798,1,202302
156,2135,1,202302
157,699,1,202302
158,1904,1,202302
159,148,1,202302
160,1245,1,202302
161,983,1,202302
162,2199,1,202302
163,910,1,202302
164,2606,1,202302
165,641,1,202302
166,1319,1,202302
167,1850,1,202302
168,506,1,202302
169,2505,1,202302
170,285,1,202302
171,85,1,202302
172,720,1,202302
173,881,1,202302
174,2716,1,202302
175,320,1,202302
176,108,1,202302
177,193,1,202302
178,218,0,202302
179,1370,0,202302
180,2156,0,202302
181,2031,0,202302
182,1998,0,202302
183,1948,0,202302
184,1725,0,202302
185,1636,0,202302
186,825,0,202302
187,1276,0,202302
188,880,0,202302
189,1149,0,202302
190,972,0,202302
191,951,0,202302
192,1745,0,202302
193,1351,0,202302
194,2830,0,202302
195,2752,0,202302
196,979,0,202302
197,702,0,202302
198,687,0,202302
199,136,0,202302
200,655,0,202302
201,1372,0,202302
202,374,0,202302
203,2741,0,202302
204,2730,0,202302
205,2594,0,202302
206,2507,0,202302
207,2253,0,202302
208,1367,0,202302
209,2214,0,202302
210,484,0,202302
211,1976,0,202302
212,357,0,202302
213,1336,0,202302
214,1313,0,202302
215,1390,0,202302
216,1298,0,202302
217,1205,0,202302
218,1394,0,202302
219,2101,0,202302
220,1721,0,202302
221,1321,0,202302
222,397,0,202302
223,406,0,202302
224,2688,0,202302
225,1865,0,202302
226,2012,0,202302
227,2000,0,202302
228,818,0,202302
229,10,0,202302
230,556,0,202302
231,546,0,202302
232,1374,0,202302
233,2751,0,202302
234,2603,0,202302
235,2590,0,202302
236,2565,0,202302
237,1993,0,202302
238,1378,0,202302
239,2370,0,202302
240,2246,0,202302
241,2062,0,202302
242,202,0,202302
243,2098,0,202302
244,1831,0,202302
245,139,0,202302
246,731,0,202302
247,1214,0,202302
248,2317,0,202302
249,1294,0,202302
250,1212,0,202302
251,1301,0,202302
252,1206,0,202302
253,2536,0,202302
254,1175,0,202302
255,100,0,202302
256,1203,0,202302
257,2806,0,202302
258,1311,0,202302
