Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Target_Period,Is_Highlighted
1,1299,1.0,26,12,21,202304,True
2,449,0.9866666666666667,7,4,4,202304,True
3,1876,0.9866666666666667,2,4,5,202304,True
4,881,0.9733333333333334,4,1,2,202304,True
5,2548,0.96,2,2,3,202304,True
6,1314,0.9466666666666667,1,2,13,202304,True
7,193,0.9333333333333333,3,1,2,202304,True
8,1319,0.9333333333333333,3,1,44,202304,True
9,140,0.9333333333333333,2,0,2,202304,True
10,1661,0.9333333333333333,0,4,35,202304,True
11,2125,0.9066666666666666,5,7,405,202304,True
12,1198,0.9066666666666666,1,0,64,202304,True
13,1850,0.9066666666666666,1,1,6,202304,True
14,853,0.9066666666666666,0,2,26,202304,True
15,1427,0.88,10,18,136,202304,True
16,2076,0.8666666666666667,2,1,20,202304,True
17,1453,0.8666666666666667,1,0,149,202304,True
18,2753,0.8533333333333334,0,2,5,202304,True
19,873,0.84,6,2,43,202304,True
20,551,0.84,1,1,16,202304,True
21,1189,0.84,1,4,1,202304,False
22,2571,0.84,1,0,31,202304,False
23,1099,0.8266666666666667,3,1,16,202304,False
24,772,0.8266666666666667,2,1,185,202304,False
25,1340,0.8133333333333334,0,2,79,202304,False
26,1994,0.8133333333333334,0,0,14,202304,False
27,1231,0.7866666666666666,0,1,31,202304,False
28,1114,0.7733333333333333,1,2,7,202304,False
29,246,0.76,1,0,49,202304,False
30,1573,0.7466666666666667,1,2,28,202304,False
31,1681,0.7466666666666667,1,1,22,202304,False
32,1931,0.7466666666666667,0,0,77,202304,False
33,1135,0.7333333333333333,1,0,35,202304,False
34,1383,0.72,0,2,321,202304,False
35,120,0.7066666666666667,2,1,10,202304,False
36,1326,0.7066666666666667,0,1,2,202304,False
37,1163,0.6933333333333334,0,0,129,202304,False
38,2451,0.6933333333333334,0,1,39,202304,False
39,2671,0.6933333333333334,0,1,38,202304,False
40,116,0.64,1,1,6,202304,False
41,910,0.64,1,1,2,202304,False
42,2142,0.64,1,0,4,202304,False
43,2505,0.64,1,1,2,202304,False
44,113,0.64,0,0,8,202304,False
45,2114,0.64,0,2,13,202304,False
46,1706,0.6266666666666667,3,2,10,202304,False
47,2184,0.6266666666666667,0,4,7,202304,False
48,2606,0.6133333333333333,2,1,26,202304,False
49,404,0.6,1,3,29,202304,False
50,150,0.5866666666666667,0,0,49,202304,False
51,506,0.5733333333333334,0,1,210,202304,False
52,593,0.5733333333333334,0,0,33,202304,False
53,2348,0.5733333333333334,0,2,10,202304,False
54,2420,0.5733333333333334,0,0,3,202304,False
55,705,0.5466666666666666,4,2,10,202304,False
56,983,0.5333333333333333,1,1,20,202304,False
57,2117,0.5333333333333333,0,0,341,202304,False
58,2510,0.5333333333333333,0,0,1,202304,False
59,1077,0.52,0,0,82,202304,False
60,1619,0.52,0,1,3,202304,False
61,37,0.5066666666666667,2,2,445,202304,False
62,1350,0.5066666666666667,2,3,109,202304,False
63,1983,0.5066666666666667,0,0,6,202304,False
64,1744,0.49333333333333335,1,0,12,202304,False
65,459,0.49333333333333335,0,0,10,202304,False
66,2010,0.48,1,0,212,202304,False
67,2401,0.48,1,0,14,202304,False
68,1411,0.4666666666666667,4,0,50,202304,False
69,1606,0.4666666666666667,2,1,87,202304,False
70,799,0.4666666666666667,0,2,10,202304,False
71,2307,0.44,0,0,33,202304,False
72,375,0.4266666666666667,1,2,10,202304,False
73,1904,0.4266666666666667,1,1,20,202304,False
74,1743,0.41333333333333333,1,2,20,202304,False
75,2384,0.41333333333333333,1,0,29,202304,False
76,227,0.41333333333333333,0,0,29,202304,False
77,792,0.41333333333333333,0,0,32,202304,False
78,1262,0.41333333333333333,0,0,96,202304,False
79,2301,0.4,1,0,25,202304,False
80,2725,0.38666666666666666,4,1,1,202304,False
81,1991,0.38666666666666666,1,0,92,202304,False
82,2101,0.38666666666666666,0,0,59,202304,False
83,2130,0.38666666666666666,0,3,126,202304,False
84,85,0.37333333333333335,2,1,20,202304,False
85,34,0.37333333333333335,1,0,126,202304,False
86,699,0.37333333333333335,1,1,4,202304,False
87,1334,0.37333333333333335,1,0,69,202304,False
88,691,0.37333333333333335,0,0,146,202304,False
89,732,0.36,0,3,8,202304,False
90,877,0.36,0,0,35,202304,False
91,1700,0.3466666666666667,2,1,7,202304,False
92,1798,0.3466666666666667,2,1,81,202304,False
93,293,0.3466666666666667,1,1,29,202304,False
94,1578,0.3466666666666667,1,0,29,202304,False
95,1040,0.3466666666666667,0,0,3,202304,False
96,1549,0.3466666666666667,0,1,29,202304,False
97,1279,0.3333333333333333,0,0,6,202304,False
98,617,0.32,1,0,27,202304,False
