Rank,grid_id,Predicted_Crime_Count,Actual_Crime_Count,Target_Period,Is_Highlighted
1,1299,17.277294,12,202304,True
2,1427,5.9998565,6,202304,True
3,1876,4.9833155,6,202304,True
4,881,4.3454714,4,202304,True
5,449,4.055387,4,202304,True
6,2125,3.5933673,2,202304,True
7,193,3.068779,1,202304,True
8,873,2.5680003,3,202304,True
9,1319,2.3281555,3,202304,True
10,1099,1.9064164,4,202304,True
11,910,1.8678186,1,202304,True
12,140,1.7309797,3,202304,True
13,2184,1.7136647,0,202304,True
14,1661,1.6921895,1,202304,True
15,551,1.6088617,2,202304,True
16,2571,1.5797349,0,202304,True
17,2076,1.5013695,1,202304,True
18,2548,1.4785295,0,202304,True
19,120,1.3959007,2,202304,True
20,1189,1.3291743,5,202304,True
21,1681,1.272202,1,202304,False
22,1706,1.2434093,0,202304,False
23,705,1.2400646,2,202304,False
24,1314,1.1779178,4,202304,False
25,772,1.1769607,1,202304,False
26,2099,1.1663961,1,202304,False
27,296,1.1590565,0,202304,False
28,2130,1.1195792,1,202304,False
29,2725,1.0908904,1,202304,False
30,2348,1.0887822,0,202304,False
31,1700,1.0784953,0,202304,False
32,2451,1.0659604,1,202304,False
33,70,1.0029655,0,202304,False
34,2117,0.98877853,5,202304,False
35,404,0.97752124,1,202304,False
36,853,0.9739447,0,202304,False
37,1231,0.95601714,0,202304,False
38,1768,0.9292766,1,202304,False
39,1114,0.92581075,1,202304,False
40,1198,0.9214108,1,202304,False
41,1904,0.915515,0,202304,False
42,2753,0.9152936,1,202304,False
43,1743,0.91313607,3,202304,False
44,2639,0.90484136,0,202304,False
45,2505,0.9010644,0,202304,False
46,150,0.8872948,2,202304,False
47,773,0.87076545,0,202304,False
48,1850,0.8586922,2,202304,False
49,2199,0.8526052,2,202304,False
50,34,0.85050607,1,202304,False
51,1187,0.8450154,0,202304,False
52,1078,0.813796,1,202304,False
53,1798,0.79760444,1,202304,False
54,506,0.775608,1,202304,False
55,2420,0.7591609,0,202304,False
56,1350,0.7586019,0,202304,False
57,285,0.75844556,0,202304,False
58,983,0.7502822,0,202304,False
59,593,0.7480159,1,202304,False
60,2743,0.74250156,1,202304,False
61,2662,0.73797274,2,202304,False
62,2142,0.7250294,2,202304,False
63,1453,0.70382696,4,202304,False
64,2606,0.6996163,0,202304,False
65,116,0.698839,0,202304,False
66,1679,0.6871844,0,202304,False
67,1135,0.6747821,0,202304,False
68,1066,0.6536072,3,202304,False
69,1340,0.6463506,1,202304,False
70,1573,0.64630663,3,202304,False
71,732,0.6440588,0,202304,False
72,524,0.63301945,0,202304,False
73,1606,0.6278014,0,202304,False
74,41,0.6232835,1,202304,False
75,1383,0.6227433,2,202304,False
76,1040,0.61435103,1,202304,False
77,1393,0.6141851,0,202304,False
78,375,0.60999787,3,202304,False
79,1158,0.60661817,2,202304,False
80,227,0.60654855,0,202304,False
81,893,0.60297096,1,202304,False
82,699,0.5858234,2,202304,False
83,2622,0.5849718,0,202304,False
84,65,0.5766156,1,202304,False
85,2114,0.5713279,1,202304,False
86,2671,0.5699469,0,202304,False
87,2736,0.5636917,0,202304,False
88,1619,0.5636617,0,202304,False
89,339,0.5560705,0,202304,False
90,2071,0.54520184,0,202304,False
91,641,0.54146916,1,202304,False
92,113,0.5395244,2,202304,False
93,904,0.5368179,0,202304,False
94,148,0.5346226,0,202304,False
95,1334,0.53100747,0,202304,False
96,720,0.53005016,0,202304,False
97,2510,0.52230376,2,202304,False
98,1744,0.51844287,0,202304,False
99,512,0.5170514,2,202304,False
100,14,0.51113,0,202304,False
101,85,0.50279796,0,202304,False
102,1326,0.50027686,3,202304,False
103,2721,0.49992383,0,202304,False
104,1511,0.4997679,0,202304,False
105,369,0.4909135,0,202304,False
106,799,0.4885382,1,202304,False
107,419,0.4744749,0,202304,False
108,2307,0.47361404,2,202304,False
109,2137,0.47328073,0,202304,False
110,2153,0.46932536,0,202304,False
111,246,0.4652087,0,202304,False
112,1262,0.46408784,0,202304,False
113,2810,0.46377516,1,202304,False
114,879,0.46148008,0,202304,False
115,1994,0.4607342,1,202304,False
116,2363,0.45928967,0,202304,False
117,1983,0.44741982,0,202304,False
118,877,0.44532883,0,202304,False
119,736,0.4431678,1,202304,False
120,1411,0.43647325,1,202304,False
121,1897,0.426229,0,202304,False
122,1156,0.42438078,0,202304,False
123,2429,0.42389363,1,202304,False
124,1297,0.4237721,0,202304,False
125,529,0.4222023,0,202304,False
126,599,0.41965836,0,202304,False
127,976,0.41837174,2,202304,False
128,1463,0.41564387,0,202304,False
129,1258,0.4152438,0,202304,False
130,2015,0.4151184,0,202304,False
131,327,0.41452134,0,202304,False
132,37,0.4140162,1,202304,False
133,293,0.4139294,0,202304,False
134,1193,0.41261303,1,202304,False
135,617,0.40716648,1,202304,False
136,71,0.40695238,0,202304,False
137,1931,0.4028803,0,202304,False
138,2301,0.398562,0,202304,False
139,2152,0.38983494,0,202304,False
140,1185,0.38796014,1,202304,False
