Rank,grid_id,Actual_Crime_Count,Target_Period,longitude,latitude
1,1427,18,202302,-82.5301150717,27.3556913992
2,1299,12,202302,-82.5423775208,27.3432658249
3,2125,7,202302,-82.5331760006,27.3515535829
4,2184,4,202302,-82.5438908301,27.3377583859
5,1189,4,202302,-82.542384218,27.3446411871
6,2363,4,202302,-82.494607617,27.3379415628
7,1661,4,202302,-82.5316751222,27.3598116289
8,1876,4,202302,-82.5454713298,27.3460045531
9,524,4,202302,-82.5393637936,27.3570313685
10,1158,4,202302,-82.5253967091,27.3350783794
11,449,4,202302,-82.5408106431,27.3377703438
12,639,4,202302,-82.579234207,27.3224870712
13,41,3,202302,-82.5423373477,27.3350136459
14,2130,3,202302,-82.5130762096,27.3351241683
15,2639,3,202302,-82.539390452,27.3625328076
16,404,3,202302,-82.5362830712,27.3570432342
17,1679,3,202302,-82.5409175203,27.3597761296
18,1350,3,202302,-82.5316028866,27.3446826358
19,419,3,202302,-82.5146289784,27.3378692438
20,732,3,202302,-82.5517412063,27.3679860773
21,70,2,202302,-82.533202347,27.357055032
22,1383,2,202302,-82.5470520745,27.3542506892
23,1066,2,202302,-82.5377304543,27.3377822337
24,2099,2,202302,-82.5146734595,27.3474968242
25,705,2,202302,-82.531668553,27.3584362673
26,1743,2,202302,-82.540904154,27.3570254101
27,1114,2,202302,-82.5438774029,27.3350076592
28,1768,2,202302,-82.5301216209,27.3570667618
29,1687,2,202302,-82.5298665453,27.3034274212
30,2736,2,202302,-82.5776800818,27.3197427282
31,327,2,202302,-82.5424378125,27.355644075
32,512,2,202302,-82.5469912735,27.3418724461
33,799,2,202302,-82.5301281707,27.358442124
34,2114,2,202302,-82.5285094504,27.3419435946
35,2743,2,202302,-82.5329260834,27.2992895999
36,2429,2,202302,-82.4992649223,27.3461773607
37,2196,2,202302,-82.5253383627,27.3227000584
38,375,2,202302,-82.5301347208,27.359817486
39,1573,2,202302,-82.5454107258,27.3336262921
40,2348,2,202302,-82.5316816918,27.3611869903
41,853,2,202302,-82.5238631145,27.3364595304
42,2753,2,202302,-82.548551742,27.3459924891
43,873,2,202302,-82.5392838639,27.340527025
44,2548,2,202302,-82.5470115361,27.3459985296
45,37,2,202302,-82.5177447387,27.3514241268
46,1706,2,202302,-82.5332089348,27.3584303935
47,1340,2,202302,-82.5300954268,27.35156531
48,2273,2,202302,-82.5502074979,27.369367513
49,1314,2,202302,-82.5315831958,27.3405565411
50,216,1,202302,-82.5454309228,27.3377523815
51,1349,1,202302,-82.4946381511,27.3448184285
52,192,1,202302,-82.5361837404,27.3364127883
53,329,1,202302,-82.5487076706,27.3776257062
54,2152,1,202302,-82.5285355554,27.3474450553
55,1945,1,202302,-82.5161881977,27.3419896685
56,2779,1,202302,-82.5393571302,27.355656008
57,1035,1,202302,-82.5469710151,27.3377463602
58,289,1,202302,-82.5470655911,27.3570014069
59,2542,1,202302,-82.5423708241,27.3418904624
60,2506,1,202302,-82.5008051424,27.3461718467
61,1083,1,202302,-82.499246428,27.3420512458
62,2216,1,202302,-82.5378707443,27.3665112879
63,98,1,202302,-82.5516049082,27.3404789163
64,561,1,202302,-82.5454848026,27.3487552747
65,480,1,202302,-82.5285420829,27.3488204198
66,168,1,202302,-82.5283660051,27.3116854825
67,1962,1,202302,-82.5531108973,27.3335960208
68,1104,1,202302,-82.543971433,27.3542627234
69,259,1,202302,-82.531688262,27.3625623514
70,1552,1,202302,-82.5270972426,27.3514865671
71,1702,1,202302,-82.5300430607,27.3405623934
72,1022,1,202302,-82.5161818247,27.3406142999
73,485,1,202302,-82.5270083417,27.3502016048
74,1463,1,202302,-82.5424311115,27.354268715
75,2241,1,202302,-82.5361771221,27.335037423
76,14,1,202302,-82.5208279638,27.3460986192
77,456,1,202302,-82.5347294972,27.3542984183
78,653,1,202302,-82.5313734217,27.2965447113
79,925,1,202302,-82.5363162051,27.3639200359
80,2768,1,202302,-82.545538713,27.3597581505
81,527,1,202302,-82.5592158202,27.3225686068
82,1388,1,202302,-82.5023267538,27.3420402028
83,1606,1,202302,-82.530075786,27.3474392183
84,1185,1,202302,-82.5332352906,27.3639318371
85,2326,1,202302,-82.522316587,27.3350899285
86,1377,1,202302,-82.5344788224,27.3020344691
87,133,1,202302,-82.5377370925,27.3391575981
88,293,1,202302,-82.536269821,27.3542925116
89,146,1,202302,-82.5439109744,27.341884474
90,945,1,202302,-82.57613314,27.318373725
91,1039,1,202302,-82.5439042591,27.3405091116
92,2422,1,202302,-82.5406438908,27.3033861639
93,1204,1,202302,-82.5714502653,27.3060144355
94,977,1,202302,-82.5289503375,27.3611785049
95,103,1,202302,-82.5237855501,27.3199550967
96,1405,1,202302,-82.534610672,27.3295418598
97,2033,1,202302,-82.5347162869,27.3515476939
98,2597,1,202302,-82.5300561495,27.3433131242
99,1776,1,202302,-82.5023453621,27.3461663157
100,330,1,202302,-82.5407839428,27.3322688864
