Rank,grid_id,Predicted_Crime_Count,Target_Period,longitude,latitude
1,1299,9,202302,-82.5423775208,27.3432658249
2,1876,6,202302,-82.5454713298,27.3460045531
3,881,4,202302,-82.5408039673,27.3363949798
4,1427,4,202302,-82.5301150717,27.3556913992
5,449,4,202302,-82.5408106431,27.3377703438
6,193,3,202302,-82.542344042,27.3363890098
7,910,2,202302,-82.5423507368,27.3377643733
8,2125,2,202302,-82.5331760006,27.3515535829
9,2571,2,202302,-82.5284768295,27.3350667625
10,1319,2,202302,-82.5501938965,27.3666168016
11,2184,1,202302,-82.5438908301,27.3377583859
12,2348,1,202302,-82.5316816918,27.3611869903
13,2451,1,202302,-82.5331957597,27.3556796701
14,2420,1,202302,-82.5454645941,27.3446291918
15,1189,1,202302,-82.542384218,27.3446411871
16,1099,1,202302,-82.5424512159,27.3583947943
17,2548,1,202302,-82.5470115361,27.3459985296
18,2117,1,202302,-82.4915213334,27.3365770596
19,1198,1,202302,-82.5299318818,27.3171811377
20,140,1,202302,-82.5392638921,27.336400933
21,1661,1,202302,-82.5316751222,27.3598116289
22,1314,1,202302,-82.5315831958,27.3405565411
23,551,1,202302,-82.5409108369,27.35840077
24,772,1,202302,-82.5299841846,27.3281840914
25,873,1,202302,-82.5392838639,27.340527025
26,853,1,202302,-82.5238631145,27.3364595304
27,2510,1,202302,-82.5439244063,27.344635198
28,2810,1,202302,-82.5409308885,27.3625268479
29,2076,1,202302,-82.5424579184,27.3597701535
30,2753,1,202302,-82.548551742,27.3459924891
31,1326,1,202302,-82.5392705489,27.3377762972
32,773,1,202302,-82.5517275678,27.3652353661
33,120,1,202302,-82.5332221117,27.3611811159
34,34,1,202302,-82.5115487739,27.3378805566
35,2671,1,202302,-82.5331891729,27.354304308
36,2725,1,202302,-82.5408306733,27.3418964339
37,621,1,202302,-82.5130888764,27.3378749087
38,116,1,202302,-82.5315766331,27.3391811756
39,1706,1,202302,-82.5332089348,27.3584303935
40,705,1,202302,-82.531668553,27.3584362673
41,296,0,202302,-82.5130825427,27.3364995386
42,1681,0,202302,-82.5300234312,27.3364362952
43,904,0,202302,-82.5776729564,27.3183673694
44,1078,0,202302,-82.5393837866,27.3611574482
45,1700,0,202302,-82.5438841163,27.3363830227
46,1231,0,202302,-82.5315635092,27.3364304439
47,285,0,202302,-82.5454511241,27.3418784685
48,1187,0,202302,-82.528418141,27.3226884476
49,2142,0,202302,-82.540797292,27.3350196156
50,2099,0,202302,-82.5146734595,27.3474968242
51,2505,0,202302,-82.5392772062,27.3391516612
52,1066,0,202302,-82.5377304543,27.3377822337
53,506,0,202302,-82.5298534835,27.3006766746
54,1850,0,202302,-82.5300496049,27.3419377589
55,593,0,202302,-82.5347493162,27.3584245028
56,70,0,202302,-82.533202347,27.357055032
57,1383,0,202302,-82.5470520745,27.3542506892
58,404,0,202302,-82.5362830712,27.3570432342
59,1040,0,202302,-82.5470047814,27.3446231687
60,2606,0,202302,-82.5238760484,27.3392102656
61,150,0,202302,-82.5378300775,27.3584126704
62,1114,0,202302,-82.5438774029,27.3350076592
63,2346,0,202302,-82.531655416,27.3556855432
64,1768,0,202302,-82.5301216209,27.3570667618
65,113,0,202302,-82.5501870965,27.3652414455
66,1743,0,202302,-82.540904154,27.3570254101
67,148,0,202302,-82.5501666994,27.3611153756
68,699,0,202302,-82.5392572358,27.3350255684
69,1340,0,202302,-82.5300954268,27.35156531
70,1453,0,202302,-82.5054510132,27.3514738009
71,1156,0,202302,-82.5486398442,27.3638721512
72,1798,0,202302,-82.5532885542,27.369355335
73,1904,0,202302,-82.5393771218,27.3597820886
74,2477,0,202302,-82.5283855526,27.3158115964
75,599,0,202302,-82.5146226258,27.3364938741
76,2130,0,202302,-82.5130762096,27.3351241683
77,983,0,202302,-82.542444514,27.3570194348
78,85,0,202302,-82.5393704575,27.3584067287
79,1744,0,202302,-82.5299384181,27.3185565079
80,641,0,202302,-82.543978153,27.3556380831
81,2639,0,202302,-82.539390452,27.3625328076
82,2010,0,202302,-82.542424411,27.3528933547
83,1983,0,202302,-82.5300365171,27.3391870276
84,1787,0,202302,-82.5423574321,27.3391397366
85,582,0,202302,-82.5454780659,27.347379914
86,1931,0,202302,-82.4976816877,27.3365552502
87,2307,0,202302,-82.5362963234,27.3597939557
88,339,0,202302,-82.5439311229,27.3460105596
89,2114,0,202302,-82.5285094504,27.3419435946
90,976,0,202302,-82.5363095774,27.3625446761
91,2199,0,202302,-82.5378433686,27.3611633906
92,2717,0,202302,-82.5316357139,27.351559455
93,1297,0,202302,-82.54542419,27.3363770187
94,65,0,202302,-82.540837351,27.3432717968
95,2743,0,202302,-82.5329260834,27.2992895999
96,2301,0,202302,-82.5301019746,27.3529406734
97,1163,0,202302,-82.5469642633,27.3363709976
98,1909,0,202302,-82.5517343868,27.3666107219
99,1334,0,202302,-82.5316225816,27.3488087281
100,2662,0,202302,-82.5316948326,27.3639377122
