Rank,grid_id,Actual_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
1,1299,12,202304,-82.5423775208,27.3432658249,27.34258400547851,-82.54314510152564,27.343947644321492,-82.54160994007437,"[(np.float64(27.34258400547851), np.float64(-82.54314510152564)), (np.float64(27.343947644321492), np.float64(-82.54160994007437))]"
2,1427,6,202304,-82.5301150717,27.3556913992,27.35500957977851,-82.5308827385306,27.356373218621492,-82.5293474048694,"[(np.float64(27.35500957977851), np.float64(-82.5308827385306)), (np.float64(27.356373218621492), np.float64(-82.5293474048694))]"
3,1876,6,202304,-82.5454713298,27.3460045531,27.345322733678508,-82.54623892949932,27.34668637252149,-82.54470373010066,"[(np.float64(27.345322733678508), np.float64(-82.54623892949932)), (np.float64(27.34668637252149), np.float64(-82.54470373010066))]"
4,2117,5,202304,-82.4915213334,27.3365770596,27.33589524017851,-82.49228886779774,27.33725887902149,-82.49075379900226,"[(np.float64(27.33589524017851), np.float64(-82.49228886779774)), (np.float64(27.33725887902149), np.float64(-82.49075379900226))]"
5,1189,5,202304,-82.542384218,27.3446411871,27.343959367678508,-82.5431518082537,27.34532300652149,-82.5416166277463,"[(np.float64(27.343959367678508), np.float64(-82.5431518082537)), (np.float64(27.34532300652149), np.float64(-82.5416166277463))]"
6,1314,4,202304,-82.5315831958,27.3405565411,27.33987472167851,-82.53235075775859,27.34123836052149,-82.5308156338414,"[(np.float64(27.33987472167851), np.float64(-82.53235075775859)), (np.float64(27.34123836052149), np.float64(-82.5308156338414))]"
7,1099,4,202304,-82.5424512159,27.3583947943,27.35771297487851,-82.54321890147153,27.35907661372149,-82.54168353032847,"[(np.float64(27.35771297487851), np.float64(-82.54321890147153)), (np.float64(27.35907661372149), np.float64(-82.54168353032847))]"
8,2734,4,202304,-82.5517480263,27.3693614325,27.36867961307851,-82.55251578792327,27.37004325192149,-82.55098026467674,"[(np.float64(27.36867961307851), np.float64(-82.55251578792327)), (np.float64(27.37004325192149), np.float64(-82.55098026467674))]"
9,881,4,202304,-82.5408039673,27.3363949798,27.33571316037851,-82.54157150043683,27.337076799221492,-82.54003643416316,"[(np.float64(27.33571316037851), np.float64(-82.54157150043683)), (np.float64(27.337076799221492), np.float64(-82.54003643416316))]"
10,449,4,202304,-82.5408106431,27.3377703438,27.33708852437851,-82.54157818576152,27.33845216322149,-82.54004310043848,"[(np.float64(27.33708852437851), np.float64(-82.54157818576152)), (np.float64(27.33845216322149), np.float64(-82.54004310043848))]"
11,1453,4,202304,-82.5054510132,27.3514738009,27.35079198147851,-82.50621865079788,27.35215562032149,-82.50468337560213,"[(np.float64(27.35079198147851), np.float64(-82.50621865079788)), (np.float64(27.35215562032149), np.float64(-82.50468337560213))]"
12,1066,3,202304,-82.5377304543,27.3377822337,27.33710041427851,-82.53849799704386,27.33846405312149,-82.53696291155615,"[(np.float64(27.33710041427851), np.float64(-82.53849799704386)), (np.float64(27.33846405312149), np.float64(-82.53696291155615))]"
13,187,3,202304,-82.5501599014,27.3597400185,27.359058199078508,-82.5509275962981,27.36042183792149,-82.54939220650189,"[(np.float64(27.359058199078508), np.float64(-82.5509275962981)), (np.float64(27.36042183792149), np.float64(-82.54939220650189))]"
14,375,3,202304,-82.5301347208,27.359817486,27.35913566657851,-82.53090241623522,27.36049930542149,-82.52936702536479,"[(np.float64(27.35913566657851), np.float64(-82.53090241623522)), (np.float64(27.36049930542149), np.float64(-82.52936702536479))]"
15,873,3,202304,-82.5392838639,27.340527025,27.33984520557851,-82.54005142565416,27.34120884442149,-82.53851630214584,"[(np.float64(27.33984520557851), np.float64(-82.54005142565416)), (np.float64(27.34120884442149), np.float64(-82.53851630214584))]"
16,1319,3,202304,-82.5501938965,27.3666168016,27.36593498217851,-82.55096163908568,27.36729862102149,-82.54942615391433,"[(np.float64(27.36593498217851), np.float64(-82.55096163908568)), (np.float64(27.36729862102149), np.float64(-82.54942615391433))]"
17,1326,3,202304,-82.5392705489,27.3377762972,27.33709447777851,-82.54003809160275,27.338458116621492,-82.53850300619726,"[(np.float64(27.33709447777851), np.float64(-82.54003809160275)), (np.float64(27.338458116621492), np.float64(-82.53850300619726))]"
18,1743,3,202304,-82.540904154,27.3570254101,27.35634359067851,-82.54167183007813,27.35770722952149,-82.54013647792188,"[(np.float64(27.35634359067851), np.float64(-82.54167183007813)), (np.float64(27.35770722952149), np.float64(-82.54013647792188))]"
19,140,3,202304,-82.5392638921,27.336400933,27.33571911357851,-82.54003142527806,27.33708275242149,-82.53849635892193,"[(np.float64(27.33571911357851), np.float64(-82.54003142527806)), (np.float64(27.33708275242149), np.float64(-82.53849635892193))]"
20,935,3,202304,-82.5283920694,27.3171869672,27.31650514777851,-82.52915946958828,27.317868786621492,-82.52762466921172,"[(np.float64(27.31650514777851), np.float64(-82.52915946958828)), (np.float64(27.317868786621492), np.float64(-82.52762466921172))]"
21,1573,3,202304,-82.5454107258,27.3336262921,27.33294447267851,-82.54617823976515,27.33430811152149,-82.54464321183484,"[(np.float64(27.33294447267851), np.float64(-82.54617823976515)), (np.float64(27.33430811152149), np.float64(-82.54464321183484))]"
22,2661,2,202304,-82.5269302657,27.3336972119,27.333015392478508,-82.52769778015622,27.33437903132149,-82.52616275124379,"[(np.float64(27.333015392478508), np.float64(-82.52769778015622)), (np.float64(27.33437903132149), np.float64(-82.52616275124379))]"
