Rank,grid_id,Crime_T1,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
1,1299,26,202304,-82.5423775208,27.3432658249,27.34258400547851,-82.54314510152564,27.343947644321492,-82.54160994007437,"[(np.float64(27.34258400547851), np.float64(-82.54314510152564)), (np.float64(27.343947644321492), np.float64(-82.54160994007437))]"
2,449,7,202304,-82.5408106431,27.3377703438,27.33708852437851,-82.54157818576152,27.33845216322149,-82.54004310043848,"[(np.float64(27.33708852437851), np.float64(-82.54157818576152)), (np.float64(27.33845216322149), np.float64(-82.54004310043848))]"
3,1876,2,202304,-82.5454713298,27.3460045531,27.345322733678508,-82.54623892949932,27.34668637252149,-82.54470373010066,"[(np.float64(27.345322733678508), np.float64(-82.54623892949932)), (np.float64(27.34668637252149), np.float64(-82.54470373010066))]"
4,881,4,202304,-82.5408039673,27.3363949798,27.33571316037851,-82.54157150043683,27.337076799221492,-82.54003643416316,"[(np.float64(27.33571316037851), np.float64(-82.54157150043683)), (np.float64(27.337076799221492), np.float64(-82.54003643416316))]"
5,2548,2,202304,-82.5470115361,27.3459985296,27.34531671017851,-82.5477791357576,27.34668034902149,-82.54624393644241,"[(np.float64(27.34531671017851), np.float64(-82.5477791357576)), (np.float64(27.34668034902149), np.float64(-82.54624393644241))]"
6,1314,1,202304,-82.5315831958,27.3405565411,27.33987472167851,-82.53235075775859,27.34123836052149,-82.5308156338414,"[(np.float64(27.33987472167851), np.float64(-82.53235075775859)), (np.float64(27.34123836052149), np.float64(-82.5308156338414))]"
7,193,3,202304,-82.542344042,27.3363890098,27.33570719037851,-82.5431115750955,27.337070829221492,-82.5415765089045,"[(np.float64(27.33570719037851), np.float64(-82.5431115750955)), (np.float64(27.337070829221492), np.float64(-82.5415765089045))]"
8,1319,3,202304,-82.5501938965,27.3666168016,27.36593498217851,-82.55096163908568,27.36729862102149,-82.54942615391433,"[(np.float64(27.36593498217851), np.float64(-82.55096163908568)), (np.float64(27.36729862102149), np.float64(-82.54942615391433))]"
9,140,2,202304,-82.5392638921,27.336400933,27.33571911357851,-82.54003142527806,27.33708275242149,-82.53849635892193,"[(np.float64(27.33571911357851), np.float64(-82.54003142527806)), (np.float64(27.33708275242149), np.float64(-82.53849635892193))]"
10,1661,0,202304,-82.5316751222,27.3598116289,27.35912980947851,-82.53244281759461,27.360493448321492,-82.53090742680538,"[(np.float64(27.35912980947851), np.float64(-82.53244281759461)), (np.float64(27.360493448321492), np.float64(-82.53090742680538))]"
11,2125,5,202304,-82.5331760006,27.3515535829,27.35087176347851,-82.5339436387508,27.35223540232149,-82.53240836244919,"[(np.float64(27.35087176347851), np.float64(-82.5339436387508)), (np.float64(27.35223540232149), np.float64(-82.53240836244919))]"
12,1198,1,202304,-82.5299318818,27.3171811377,27.31649931827851,-82.53069928194795,27.31786295712149,-82.52916448165205,"[(np.float64(27.31649931827851), np.float64(-82.53069928194795)), (np.float64(27.31786295712149), np.float64(-82.52916448165205))]"
13,1850,1,202304,-82.5300496049,27.3419377589,27.341255939478508,-82.53081717642588,27.34261957832149,-82.52928203337412,"[(np.float64(27.341255939478508), np.float64(-82.53081717642588)), (np.float64(27.34261957832149), np.float64(-82.52928203337412))]"
14,853,0,202304,-82.5238631145,27.3364595304,27.33577771097851,-82.52463064808386,27.33714134982149,-82.52309558091615,"[(np.float64(27.33577771097851), np.float64(-82.52463064808386)), (np.float64(27.33714134982149), np.float64(-82.52309558091615))]"
15,1427,10,202304,-82.5301150717,27.3556913992,27.35500957977851,-82.5308827385306,27.356373218621492,-82.5293474048694,"[(np.float64(27.35500957977851), np.float64(-82.5308827385306)), (np.float64(27.356373218621492), np.float64(-82.5293474048694))]"
