Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Is_Highlighted
1,1299,1.0,9,7,21,True
2,449,1.0,5,5,5,True
3,1876,0.9824561403508771,20,12,4,True
4,2548,0.9824561403508771,3,3,3,True
5,881,0.9649122807017544,10,7,2,True
6,140,0.9649122807017544,2,4,2,True
7,1314,0.9649122807017544,2,3,9,True
8,1661,0.9649122807017544,1,3,38,True
9,1850,0.9473684210526315,0,3,7,True
10,1198,0.9298245614035088,2,2,64,True
11,1319,0.9298245614035088,2,1,46,True
12,853,0.9298245614035088,0,2,15,True
13,193,0.9122807017543859,14,11,2,True
14,1427,0.8947368421052632,2,5,190,True
15,1994,0.8947368421052632,1,1,12,True
16,2125,0.8771929824561403,6,1,273,True
17,1453,0.8771929824561403,4,1,135,True
18,2753,0.8771929824561403,4,4,4,True
19,246,0.8771929824561403,1,1,39,True
20,2076,0.8771929824561403,0,4,25,True
21,1189,0.8421052631578947,3,1,1,False
22,1340,0.8421052631578947,3,0,78,False
23,873,0.8421052631578947,1,2,50,False
24,2571,0.8421052631578947,0,3,35,False
25,551,0.8245614035087719,3,0,20,False
26,772,0.8245614035087719,0,3,169,False
27,1135,0.8070175438596491,2,0,38,False
28,1231,0.8070175438596491,2,0,35,False
29,1573,0.8070175438596491,0,1,30,False
30,1114,0.7894736842105263,2,1,13,False
31,1163,0.7894736842105263,2,0,151,False
32,1931,0.7894736842105263,0,0,87,False
33,1099,0.7719298245614035,0,5,20,False
34,1326,0.7543859649122807,7,1,2,False
35,1681,0.7543859649122807,0,1,24,False
36,2114,0.7368421052631579,0,1,9,False
37,116,0.7192982456140351,1,2,7,False
38,120,0.7192982456140351,1,4,8,False
39,404,0.7192982456140351,0,0,19,False
40,1383,0.7017543859649122,3,2,328,False
41,2671,0.7017543859649122,0,0,45,False
42,2142,0.6842105263157895,1,0,5,False
43,1077,0.6842105263157895,0,0,71,False
44,37,0.6666666666666666,0,0,421,False
45,2451,0.6666666666666666,0,0,41,False
46,113,0.6491228070175439,3,2,11,False
47,459,0.6491228070175439,0,0,8,False
48,1350,0.6491228070175439,0,0,95,False
49,1983,0.631578947368421,0,0,7,False
50,2505,0.631578947368421,0,0,2,False
51,1606,0.6140350877192983,1,0,95,False
52,799,0.6140350877192983,0,0,8,False
53,2348,0.6140350877192983,0,0,8,False
54,2401,0.6140350877192983,0,1,12,False
55,2184,0.5964912280701754,2,4,13,False
56,1706,0.5964912280701754,1,2,8,False
57,2010,0.5964912280701754,1,0,195,False
58,593,0.5964912280701754,0,2,27,False
59,150,0.5789473684210527,1,2,39,False
60,910,0.5789473684210527,0,2,2,False
61,1411,0.5789473684210527,0,0,59,False
62,2606,0.5614035087719298,3,1,15,False
63,2420,0.543859649122807,2,3,3,False
64,1744,0.543859649122807,1,0,10,False
65,2510,0.543859649122807,1,1,1,False
66,983,0.543859649122807,0,0,25,False
67,2307,0.543859649122807,0,0,27,False
68,2384,0.543859649122807,0,0,19,False
69,506,0.5087719298245614,2,0,194,False
70,705,0.5087719298245614,1,1,8,False
71,2101,0.5087719298245614,0,0,43,False
72,375,0.49122807017543857,0,0,8,False
73,1262,0.49122807017543857,0,0,80,False
74,1619,0.49122807017543857,0,3,3,False
75,1991,0.49122807017543857,0,0,106,False
76,877,0.47368421052631576,1,0,38,False
77,2117,0.47368421052631576,1,1,477,False
78,2301,0.47368421052631576,0,1,22,False
79,293,0.45614035087719296,0,0,19,False
80,1549,0.45614035087719296,0,1,19,False
81,691,0.43859649122807015,1,1,133,False
82,1040,0.43859649122807015,0,0,3,False
83,1279,0.43859649122807015,0,0,7,False
84,227,0.40350877192982454,3,1,19,False
85,1578,0.40350877192982454,1,1,19,False
86,126,0.40350877192982454,0,0,43,False
87,792,0.40350877192982454,0,0,32,False
88,1386,0.40350877192982454,0,0,373,False
89,53,0.38596491228070173,1,1,19,False
90,699,0.38596491228070173,1,4,5,False
91,1904,0.38596491228070173,1,1,25,False
92,259,0.38596491228070173,0,0,38,False
93,617,0.38596491228070173,0,1,28,False
94,1743,0.38596491228070173,0,1,25,False
95,2692,0.3684210526315789,1,1,48,False
96,85,0.3508771929824561,3,0,25,False
97,1334,0.3508771929824561,1,0,51,False
98,1679,0.3333333333333333,1,0,20,False
99,2725,0.3333333333333333,1,2,1,False
100,133,0.3333333333333333,0,0,23,False
101,1081,0.3333333333333333,0,0,250,False
102,2009,0.3333333333333333,0,1,51,False
103,2027,0.3333333333333333,0,0,159,False
104,2779,0.3333333333333333,0,0,73,False
105,2130,0.3157894736842105,3,3,221,False
106,1798,0.3157894736842105,1,0,75,False
107,732,0.3157894736842105,0,1,11,False
108,993,0.3157894736842105,0,0,27,False
109,1998,0.3157894736842105,0,0,114,False
110,108,0.2982456140350877,1,0,9,False
111,1185,0.2982456140350877,0,1,76,False
112,1909,0.2982456140350877,0,1,11,False
113,290,0.2807017543859649,0,0,1079,False
114,2198,0.2807017543859649,0,0,43,False
115,1078,0.2631578947368421,0,2,61,False
116,1541,0.2631578947368421,0,1,20,False
117,1700,0.2631578947368421,0,0,13,False
118,34,0.24561403508771928,3,2,234,False
119,1897,0.24561403508771928,2,1,6,False
120,582,0.24561403508771928,1,1,3,False
121,285,0.24561403508771928,0,1,130,False
122,2542,0.24561403508771928,0,2,1,False
123,2296,0.22807017543859648,2,0,170,False
124,2305,0.22807017543859648,1,0,7,False
125,419,0.21052631578947367,3,2,221,False
126,2743,0.21052631578947367,2,0,259,False
127,555,0.21052631578947367,0,0,240,False
128,1877,0.21052631578947367,0,2,22,False
129,127,0.19298245614035087,0,1,232,False
130,512,0.19298245614035087,0,1,121,False
131,653,0.19298245614035087,0,0,191,False
132,962,0.19298245614035087,0,0,181,False
133,1589,0.19298245614035087,0,0,18,False
134,52,0.17543859649122806,1,0,24,False
135,207,0.17543859649122806,0,0,17,False
136,1702,0.17543859649122806,0,0,7,False
137,2810,0.17543859649122806,0,0,115,False
138,1115,0.15789473684210525,2,1,74,False
139,76,0.15789473684210525,0,0,278,False
140,1802,0.15789473684210525,0,1,228,False
141,1861,0.15789473684210525,0,1,30,False
142,2730,0.15789473684210525,0,0,289,False
143,2754,0.15789473684210525,0,0,24,False
144,2787,0.15789473684210525,0,0,27,False
145,1530,0.14035087719298245,4,0,8,False
146,1066,0.14035087719298245,2,0,6,False
147,2099,0.14035087719298245,1,1,395,False
148,45,0.14035087719298245,0,0,609,False
149,327,0.14035087719298245,0,0,66,False
150,361,0.14035087719298245,0,0,164,False
151,1297,0.14035087719298245,0,2,30,False
152,1534,0.14035087719298245,0,0,426,False
153,1742,0.14035087719298245,0,0,48,False
154,2217,0.14035087719298245,0,0,182,False
155,1156,0.12280701754385964,3,0,46,False
156,65,0.12280701754385964,2,0,1,False
157,773,0.12280701754385964,1,1,11,False
158,41,0.12280701754385964,0,2,5,False
159,349,0.12280701754385964,0,0,83,False
160,561,0.12280701754385964,0,1,74,False
161,1385,0.12280701754385964,0,1,9,False
162,1723,0.12280701754385964,0,0,212,False
163,2020,0.10526315789473684,2,0,24,False
164,1035,0.10526315789473684,1,1,31,False
165,2248,0.10526315789473684,1,0,378,False
166,2477,0.10526315789473684,1,0,10,False
167,2639,0.10526315789473684,1,0,115,False
168,356,0.10526315789473684,0,0,111,False
169,530,0.10526315789473684,0,0,26,False
170,581,0.10526315789473684,0,0,64,False
171,641,0.10526315789473684,0,0,66,False
172,976,0.10526315789473684,0,0,108,False
173,1268,0.10526315789473684,0,0,75,False
174,1962,0.10526315789473684,0,1,324,False
175,2540,0.10526315789473684,0,0,38,False
176,2642,0.10526315789473684,0,1,95,False
177,2789,0.10526315789473684,0,0,416,False
178,1353,0.08771929824561403,2,0,210,False
179,1187,0.08771929824561403,1,1,123,False
180,1341,0.08771929824561403,1,0,187,False
181,578,0.08771929824561403,0,0,132,False
182,604,0.08771929824561403,0,0,154,False
183,945,0.08771929824561403,0,0,196,False
184,1098,0.08771929824561403,0,0,74,False
185,1393,0.08771929824561403,0,1,27,False
186,1984,0.08771929824561403,0,0,314,False
187,2015,0.08771929824561403,0,0,155,False
188,2205,0.08771929824561403,0,1,222,False
189,2696,0.08771929824561403,0,0,218,False
190,2818,0.08771929824561403,0,0,14,False
191,257,0.07017543859649122,1,1,131,False
192,956,0.07017543859649122,1,0,226,False
193,2597,0.07017543859649122,1,1,9,False
194,233,0.07017543859649122,0,1,69,False
195,332,0.07017543859649122,0,0,57,False
196,904,0.07017543859649122,0,2,183,False
197,1768,0.07017543859649122,0,0,14,False
198,2744,0.07017543859649122,0,0,83,False
199,2721,0.05263157894736842,2,0,54,False
200,28,0.05263157894736842,1,1,215,False
201,70,0.05263157894736842,1,1,45,False
202,879,0.05263157894736842,1,0,99,False
203,893,0.05263157894736842,1,0,48,False
204,1580,0.05263157894736842,1,0,62,False
205,284,0.05263157894736842,0,0,246,False
206,363,0.05263157894736842,0,0,10,False
207,916,0.05263157894736842,0,0,132,False
208,1033,0.05263157894736842,0,0,184,False
209,1670,0.05263157894736842,0,0,32,False
210,1792,0.05263157894736842,0,0,178,False
